sector_id,ranking,municipio,coordinacion,colonias,clasificacion,latitud,longitud,indice_ceguera,indice_violencia,eventos_hd,llamadas_violentas,dist_base_km,personal_3km,limitrofe,diagnostico
SEC-976_-4957,16,TLALNEPANTLA,METROPOLITANA,"LAZARO CARDENAS, LÁZARO CÁRDENAS, LAZARO CARDENAS SEGUNDA SECCION",DESATENDIDO,19.53,-99.13,194.0,70.0,6,0,3.54,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-983_-4955,17,TULTITLAN,METROPOLITANA,SAN PABLO DE LAS SALINAS,MIXTO,19.67,-99.09,193.0,100.5,2,40,2.74,35,Sí,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-984_-4956,18,TULTEPEC,ECATEPEC,"EL MIRADOR, VICENTE SUAREZ",DESATENDIDO,19.69,-99.11,191.9,75.0,5,8,3.12,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-990_-4952,19,ZUMPANGO,ECATEPEC,"FRACC LAS PLAZAS, LAS PLAZA, LAS PLAZAS",DESATENDIDO,19.81,-99.03,178.0,44.5,3,2,8.31,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-982_-4955,20,COACALCO,ECATEPEC,SAN FRANCISCO,MIXTO,19.65,-99.09,176.4,91.0,1,33,2.89,39,Sí,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-984_-4968,21,NICOLAS ROMERO,METROPOLITANA,"SAN FRANCISCO MAGÚ, SAN FRANCISCO MAGU",DESATENDIDO,19.69,-99.35,174.0,43.5,2,2,7.91,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-964_-4976,22,LERMA,VALLE TOLUCA,"GUADALUPE LA CIENEGA, ISIDRO FABELA",DESATENDIDO,19.29,-99.51,170.8,64.5,2,20,3.3,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-980_-4953,23,ECATEPEC,ECATEPEC,LOMAS DE ATZOLCO,SATURADO,19.61,-99.05,170.3,252.0,1,104,0.32,108,No,"Hay base y personal a menos de 1.5 km y aun así concentra violencia: revisar efectividad y horarios del patrullaje existente, no sumar inmuebles."
SEC-990_-4953,24,ZUMPANGO,ECATEPEC,"FRACC LOS SAUCES 1, PARQUE DE LOS SAUCES, NUEVOS PASEOS DE SAN JUAN",DESATENDIDO,19.81,-99.05,166.0,41.5,4,1,6.41,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-982_-4954,25,ECATEPEC,ECATEPEC,,DESATENDIDO,19.65,-99.07,164.7,60.0,0,31,3.49,0,Sí,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-991_-4961,26,HUEHUETOCA,ECATEPEC,"PORTAL DEL SOL, SALITRILLO",MIXTO,19.83,-99.21,163.7,97.5,2,39,2.28,41,No,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-979_-4960,27,CUAUTITLAN IZCALLI,METROPOLITANA,"SANTA MARIA GUADALUPE, SANTA MARIA GUADALUPE LA QUEBRADA, SANTA MARÍA DE GUADALUPE LA QUEBRADA",SATURADO,19.59,-99.19,157.0,172.0,7,16,0.99,96,Sí,"Hay base y personal a menos de 1.5 km y aun así concentra violencia: revisar efectividad y horarios del patrullaje existente, no sumar inmuebles."
SEC-980_-4958,28,TULTITLAN,METROPOLITANA,"LAS TORRES, AMPLIACIÓN EL TESORO, MEXICALZINGO",MIXTO,19.61,-99.15,156.7,82.5,5,14,2.56,30,No,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-977_-4955,29,ECATEPEC,ECATEPEC,"LOMAS DE TEPEOLULCO, TABLA DEL POZO",DESATENDIDO,19.55,-99.09,147.2,54.0,3,12,3.45,0,Sí,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-971_-4964,30,NAUCALPAN,METROPOLITANA,,MIXTO,19.43,-99.27,144.5,100.5,0,45,2.16,67,Sí,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-978_-4953,31,ECATEPEC,ECATEPEC,"LOMAS DE SAN CARLOS, LOMAS DE TULPETLAC, TULPETLAC",MIXTO,19.57,-99.05,140.4,93.0,5,15,2.35,66,No,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-970_-4949,32,CHIMALHUACAN,ORIENTE,XALTIPAC,DESATENDIDO,19.41,-98.97,137.7,47.5,1,19,3.8,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-980_-4959,33,TULTITLAN,METROPOLITANA,"BUENAVISTA, LAS TORRES, LOMAS DEL PARQUE",SATURADO,19.61,-99.17,137.4,102.5,3,33,1.22,30,No,"Hay base y personal a menos de 1.5 km y aun así concentra violencia: revisar efectividad y horarios del patrullaje existente, no sumar inmuebles."
SEC-980_-4965,34,NICOLAS ROMERO,METROPOLITANA,"GRANJAS DE GUADALUPE, COLMENA CENTRO, QUINTO BARRIO SANTA MARÍA CAHUACAN",MIXTO,19.61,-99.29,135.0,93.5,4,22,2.27,72,No,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-982_-4961,35,CUAUTITLAN IZCALLI,METROPOLITANA,,MIXTO,19.65,-99.21,134.1,174.5,0,96,1.75,216,Sí,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-966_-4981,36,TOLUCA,VALLE TOLUCA,,DESATENDIDO,19.33,-99.61,129.2,51.5,0,25,3.02,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-969_-4946,37,CHIMALHUACAN,ORIENTE,"LOMAS DE SANTA CRUZ, BARRIO CORTE SAN PABLO, SAN VICENTE",DESATENDIDO,19.39,-98.91,128.2,47.0,3,9,3.46,0,Sí,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-963_-4973,38,OCOYOACAC,VALLE TOLUCA,,DESATENDIDO,19.27,-99.45,128.0,32.0,0,14,9.61,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-961_-4984,39,TOLUCA,VALLE TOLUCA,,DESATENDIDO,19.23,-99.67,126.6,41.0,0,19,4.17,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-966_-4978,40,TOLUCA,VALLE TOLUCA,SAN FRANCISCO TOTOLTEPEC,DESATENDIDO,19.33,-99.55,126.4,34.5,1,11,5.32,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-962_-4985,41,TOLUCA,VALLE TOLUCA,,DESATENDIDO,19.25,-99.69,123.4,45.0,0,21,3.48,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-977_-4959,42,TLALNEPANTLA,METROPOLITANA,,DESATENDIDO,19.55,-99.17,123.2,48.5,0,22,3.08,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-979_-4963,43,ATIZAPAN,METROPOLITANA,"MÉXICO 86, PRADOS DE IXTACALA 2DA SECCIÓN",MIXTO,19.59,-99.25,121.7,79.0,2,27,1.84,37,No,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-989_-4954,44,ZUMPANGO,ECATEPEC,SAN SEBASTIÁN,DESATENDIDO,19.79,-99.07,120.9,34.5,1,12,5.01,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-965_-4984,45,TOLUCA,VALLE TOLUCA,SAN LUIS OBISPO,DESATENDIDO,19.31,-99.67,120.2,46.5,1,20,3.17,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-960_-4946,46,CHALCO,CHALCO,SAN PABLO ATLAZALPA,DESATENDIDO,19.21,-98.91,120.2,34.0,1,6,5.07,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-974_-4964,47,NAUCALPAN,METROPOLITANA,"COLINAS DE SAN MATEO, CIUDAD BRISAS",MIXTO,19.49,-99.27,118.0,57.5,3,11,2.84,27,No,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-981_-4968,48,NICOLAS ROMERO,METROPOLITANA,"JOYA DEL TEJOCOTE, SAN PABLO DE LA CRUZ",MIXTO,19.63,-99.35,117.8,60.0,4,6,2.97,40,No,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-964_-4985,49,TOLUCA,VALLE TOLUCA,,DESATENDIDO,19.29,-99.69,117.2,44.5,0,21,3.27,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-968_-4949,50,LA PAZ,ORIENTE,"VALLE DE LOS REYES, ANCON, EL SALADO",SATURADO,19.37,-98.97,116.6,175.5,6,41,0.65,149,Sí,"Hay base y personal a menos de 1.5 km y aun así concentra violencia: revisar efectividad y horarios del patrullaje existente, no sumar inmuebles."
SEC-960_-4947,51,CHALCO,CHALCO,SANTA CATARINA AYOTZINGO,DESATENDIDO,19.21,-98.93,116.0,29.0,2,4,6.41,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-990_-4951,52,ZUMPANGO,ECATEPEC,SAN BARTOLO,DESATENDIDO,19.81,-99.01,116.0,29.0,1,8,6.96,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-983_-4958,53,CUAUTITLAN,METROPOLITANA,,DESATENDIDO,19.67,-99.15,115.7,35.0,0,20,4.61,0,Sí,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-989_-4955,54,ZUMPANGO,ECATEPEC,"SAN BARTOLO CUAUTLALPAN, SAN LORENZO",DESATENDIDO,19.79,-99.09,115.6,43.0,2,4,3.38,0,Sí,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-971_-4953,55,NEZAHUALCOYOTL,ORIENTE,METROPOLITANA SECCIÓN I,DESATENDIDO,19.43,-99.05,114.6,40.0,1,14,3.73,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-982_-4963,56,CUAUTITLAN IZCALLI,METROPOLITANA,"CONJUNTO URBANO LOMAS DE CUAUTITLAN, LOMAS DE SAN FRANCISCO",DESATENDIDO,19.65,-99.25,114.4,33.5,2,2,4.83,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-983_-4957,57,TULTEPEC,ECATEPEC,SANTIAGO TEYAHUALCO,DESATENDIDO,19.67,-99.13,113.0,30.5,1,11,5.41,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-963_-4985,58,TOLUCA,VALLE TOLUCA,,MIXTO,19.27,-99.69,110.3,68.0,0,36,2.54,60,No,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-975_-4952,59,ECATEPEC,ECATEPEC,"FUENTES DE ARAGÓN, LA PLAYITA, VALLE DE ARAGÓN 3RA SECCIÓN",SATURADO,19.51,-99.03,110.1,115.5,3,28,1.17,99,No,"Hay base y personal a menos de 1.5 km y aun así concentra violencia: revisar efectividad y horarios del patrullaje existente, no sumar inmuebles."
SEC-984_-4949,60,TECAMAC,ECATEPEC,LOS OLIVOS,DESATENDIDO,19.69,-98.97,110.1,32.5,1,14,4.78,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-981_-4953,61,TECAMAC,ECATEPEC,LOS HÉROES TECÁMAC,MIXTO,19.63,-99.05,109.9,76.5,1,34,2.54,87,Sí,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-961_-4946,62,CHALCO,CHALCO,,DESATENDIDO,19.23,-98.91,109.9,39.0,0,14,3.64,0,Sí,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-988_-4961,63,COYOTEPEC,ECATEPEC,"IZTACALCO, SANTIAGO, BARRIO SANTIAGO",MIXTO,19.77,-99.21,107.6,60.0,4,9,2.35,32,Sí,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-976_-4956,64,TLALNEPANTLA,METROPOLITANA,"LAZARO CARDENAS, SAN JUAN IXHUATEPEC",MIXTO,19.53,-99.11,106.1,70.5,3,22,1.69,34,No,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-964_-4948,65,VALLE DE CHALCO,CHALCO,"CONCEPCIÓN, SANTIAGO, AMERICAS II",SATURADO,19.29,-98.95,106.0,101.0,3,29,0.83,52,Sí,"Hay base y personal a menos de 1.5 km y aun así concentra violencia: revisar efectividad y horarios del patrullaje existente, no sumar inmuebles."
SEC-969_-4947,66,LA PAZ,ORIENTE,"PORTEZUELOS, EMILIANO ZAPATA",MIXTO,19.39,-98.93,105.8,68.0,2,24,2.79,81,Sí,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-981_-4962,67,CUAUTITLAN IZCALLI,METROPOLITANA,"VALLE DE LAS FLORES, LOMAS DE LOS ÁNGELES",MIXTO,19.63,-99.23,105.7,55.5,2,17,2.77,38,No,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-980_-4949,68,ACOLMAN,ECATEPEC,,DESATENDIDO,19.61,-98.97,105.1,41.0,0,17,3.12,0,Sí,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-963_-4980,69,METEPEC,VALLE TOLUCA,,MIXTO,19.27,-99.59,104.9,62.0,0,30,2.29,40,No,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-988_-4959,70,TEOLOYUCAN,METROPOLITANA,SANTO TOMÁS,DESATENDIDO,19.77,-99.17,103.9,35.5,2,5,3.85,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-981_-4958,71,TULTITLAN,METROPOLITANA,SAN JUAN,DESATENDIDO,19.63,-99.15,102.3,33.5,1,11,4.11,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-982_-4957,72,TULTITLAN,METROPOLITANA,VILLA ESMERALDA,DESATENDIDO,19.65,-99.13,101.8,36.0,1,13,3.65,0,Sí,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-981_-4959,73,TULTITLAN,METROPOLITANA,LA CONCEPCION,DESATENDIDO,19.63,-99.17,100.6,37.0,1,13,3.44,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-962_-4982,74,METEPEC,VALLE TOLUCA,,DESATENDIDO,19.25,-99.63,97.6,35.5,0,18,3.5,0,Sí,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-994_-4961,75,HUEHUETOCA,ECATEPEC,,DESATENDIDO,19.89,-99.21,96.9,24.5,0,14,5.91,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-979_-4962,76,ATIZAPAN,METROPOLITANA,,MIXTO,19.59,-99.23,96.8,50.5,0,23,2.78,37,No,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-975_-5006,77,VILLA VICTORIA,VALLE DE BRAVO,PALIZADA,DESATENDIDO,19.51,-100.11,96.0,24.0,1,1,14.27,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-968_-4988,78,ALMOLOYA,VALLE TOLUCA,,DESATENDIDO,19.37,-99.75,96.0,24.0,0,12,8.48,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-986_-4940,79,OTUMBA,ORIENTE,SANTIAGO TOLMAN,DESATENDIDO,19.73,-98.79,95.3,27.0,1,4,5.06,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-977_-4954,80,ECATEPEC,ECATEPEC,"SAN PEDRO XALOSTOC, LA PALMA, HANK GONZÁLEZ",MIXTO,19.55,-99.07,95.0,89.5,3,26,1.96,130,No,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-962_-4988,81,ZINACANTEPEC,VALLE TOLUCA,,DESATENDIDO,19.25,-99.75,94.9,37.5,0,12,3.06,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-970_-4967,82,HUIXQUILUCAN,METROPOLITANA,,DESATENDIDO,19.41,-99.33,94.8,30.0,0,14,4.32,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-981_-4952,83,TECAMAC,ECATEPEC,"SAN JUAN PUEBLO NUEVO, FRACC. JARDINES DE LA VIÑA",MIXTO,19.63,-99.03,94.6,57.5,2,15,2.5,55,Sí,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-983_-4962,84,CUAUTITLAN IZCALLI,METROPOLITANA,"SAN ANTONIO 2a SECCIÓN, EJIDO LA PIEDAD",MIXTO,19.67,-99.23,94.5,66.5,3,18,1.9,56,No,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-985_-4957,85,TULTEPEC,ECATEPEC,JARDINES DE SANTA CRUZ,DESATENDIDO,19.71,-99.13,94.2,25.0,1,3,5.53,0,Sí,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-991_-5000,86,TEMASCALCINGO,ATLACOMULCO,,DESATENDIDO,19.83,-99.99,94.0,23.5,0,12,11.33,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-982_-4956,87,COACALCO,ECATEPEC,"SAN PABLO CTM, SAN PABLO",MIXTO,19.65,-99.11,91.9,51.0,2,17,2.54,39,Sí,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-964_-4947,88,VALLE DE CHALCO,CHALCO,"PROVIDENCIA, SAN ISIDRO",SATURADO,19.29,-98.93,91.1,123.0,2,43,1.48,203,Sí,"Hay base y personal a menos de 1.5 km y aun así concentra violencia: revisar efectividad y horarios del patrullaje existente, no sumar inmuebles."
SEC-976_-4952,89,ECATEPEC,ECATEPEC,"EL CEGOR, CIUDAD AZTECA",SATURADO,19.53,-99.03,91.0,121.0,2,41,1.14,163,No,"Hay base y personal a menos de 1.5 km y aun así concentra violencia: revisar efectividad y horarios del patrullaje existente, no sumar inmuebles."
SEC-980_-4966,90,NICOLAS ROMERO,METROPOLITANA,"VICENTE GUERRERO, LIBERTAD",MIXTO,19.61,-99.31,90.1,78.5,3,23,2.01,112,No,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-985_-4949,91,TECAMAC,ECATEPEC,,DESATENDIDO,19.71,-98.97,89.7,24.5,0,12,5.33,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-970_-4964,92,HUIXQUILUCAN,METROPOLITANA,"INTERLOMAS, BALCONES DE LA RESIDENCIA, FEDERAL BUROCRÁTICA",SATURADO,19.41,-99.27,88.8,74.0,3,18,1.09,43,No,"Hay base y personal a menos de 1.5 km y aun así concentra violencia: revisar efectividad y horarios del patrullaje existente, no sumar inmuebles."
SEC-972_-4968,93,NAUCALPAN,METROPOLITANA,SAN JUAN CHIMALPA,DESATENDIDO,19.45,-99.35,88.0,22.0,1,5,8.57,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-970_-4948,94,CHIMALHUACAN,ORIENTE,"TENEPANTLA, SANTA MARÍA CHIMALHUACÁN",MIXTO,19.41,-98.95,87.9,64.0,2,21,2.23,81,No,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-977_-4956,95,TLALNEPANTLA,METROPOLITANA,LÁZARO CÁRDENAS,DESATENDIDO,19.55,-99.11,87.9,31.5,2,1,3.58,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-962_-4946,96,CHALCO,CHALCO,"EL NARANJO, JARDINES DE CHALCO",SATURADO,19.25,-98.91,87.5,55.5,2,17,1.49,16,No,"Hay base y personal a menos de 1.5 km y aun así concentra violencia: revisar efectividad y horarios del patrullaje existente, no sumar inmuebles."
SEC-962_-4989,97,ZINACANTEPEC,VALLE TOLUCA,,DESATENDIDO,19.25,-99.77,87.2,30.5,0,17,3.72,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-963_-4984,98,TOLUCA,VALLE TOLUCA,,SATURADO,19.27,-99.67,86.1,113.5,0,56,0.47,94,No,"Hay base y personal a menos de 1.5 km y aun así concentra violencia: revisar efectividad y horarios del patrullaje existente, no sumar inmuebles."
SEC-971_-4947,99,CHIMALHUACAN,ORIENTE,"ARBOLEDAS DE ACUITLAPILCO, ACUITLAPILCO",MIXTO,19.43,-98.93,85.6,89.0,2,38,1.66,135,Sí,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-963_-4945,100,CHALCO,CHALCO,CULTURAS DE CHALCO,SATURADO,19.27,-98.89,83.5,169.0,1,73,0.94,297,Sí,"Hay base y personal a menos de 1.5 km y aun así concentra violencia: revisar efectividad y horarios del patrullaje existente, no sumar inmuebles."
SEC-966_-4944,101,IXTAPALUCA,CHALCO,LOS HEROES,MIXTO,19.33,-98.87,83.5,49.0,2,14,2.7,57,No,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-963_-4977,102,SAN MATEO ATENCO,VALLE TOLUCA,,MIXTO,19.27,-99.53,82.8,68.0,0,36,1.81,85,Sí,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-973_-4962,103,NAUCALPAN,METROPOLITANA,"SAN FRANCISCO CUAUTLALPAN, AMPLIACIÓN SAN ESTEBAN",SATURADO,19.47,-99.23,81.2,93.5,2,32,0.93,103,No,"Hay base y personal a menos de 1.5 km y aun así concentra violencia: revisar efectividad y horarios del patrullaje existente, no sumar inmuebles."
SEC-979_-4964,104,ATIZAPAN,METROPOLITANA,,MIXTO,19.59,-99.27,80.9,42.0,0,22,2.8,37,Sí,Cobertura intermedia: verificar recorridos y tiempos de respuesta en el cuadrante.
SEC-985_-4958,105,MELCHOR OCAMPO,ECATEPEC,SAN ISIDRO,DESATENDIDO,19.71,-99.15,80.0,20.0,1,1,6.98,0,Sí,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
SEC-977_-4940,106,TEPETLAOXTOC,ORIENTE,"SAN BERNARDO TLALMIMILOLPAN, SAN ANDRÉS DE LAS PERAS",DESATENDIDO,19.55,-98.79,80.0,20.0,2,0,9.5,0,No,Violencia registrada sin despliegue a distancia útil: procede extender cobertura o reasignar cuadrante.
